,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
С,,"1,2","1,4",1,"1,3","1,2","0,6",,,
,бета,,,,,,,,,
Chevrolet	          Spark,,98,128,174,11,74,31,класс  A            хэтчбек                 США                       10                           1,4500 /,5
У,,"0,8","0,9","0,7","1,7","0,8","0,8",,,
Chevrolet	          Niva Special Edition,,80,127,140,19,49,170,класс B             внедорожник                 США                       10                           4,9500 /,2
В,,"0,8","1,1","0,7",2,"0,7",1,,,
Ford	                 Fiesta ST,,200,290,232,"6,5",96,29,класс  C            хэтчбек                 США                       10                          2                          hot hatch,13 000 /,4
Г,,"0,8","0,9","0,7","1,5","0,7","0,7",,,
BMW                  M 235i Coupé,,306,450,250,"4,9",113,54,класс  D            седан                Германия                       10                           2,16 000 /,4
,,1,"0,9","1,2",1,"1,2","0,9",,,
Chevrolet	        Tahoe,,324,470,192,9,41,151,класс  C            внедорожник                США                      10                           2                  комфорт,18 100 /,4
В,,"0,9","1,5","0,6","1,7","0,7",1,,,
Porsche	Panamera 4S,,440,550,286,"4,4",108,72,класс   E           хэтчбек                Германия                       10                           2                  комфорт,23 500 /,4
Г,,"1,4",1,"1,5","0,8",1,"0,9",,,
Porsche	                911 GT3,,500,460,320,"3,9",138,23,класс  E            купе               Германия                       10                           3,30 000 /,3
Г,,1,"1,2","1,5","0,9","1,3","0,7",,,
Porsche	            911 GT2,,700,750,340,"2,9",119,25,класс   R           купе               Германия                       10                           3                         widow maker,35 000 /,3
Г,,1,"1,1","1,8","1,1","1,4","0,7",,,
Porsche	          911 GT2 RS,,700,750,340,"2,8",126,21,класс   S           купе               Германия                       10                           3                         widow maker,36 500 /,3
Г,,"1,1","1,2","3,5","1,7","1,6","0,6",,,
Lamborghini	Aventador SV J,,770,720,352,"2,8",131,45,класс     S         купе               Италия                       10                           4                                             widow maker,41 000 /,2
Г,,"1,2","1,3",4,"1,7","1,5","0,8",,,
Ford       	Shelby F-150 Super Snake,,760,881,250,"4,3",51,130,класс R             внедорожник                  США                      10                            4                     muscle car                                     коллекция                      widow maker,45 000 /,2
Г,,"1,1","1,3",1,"0,9","0,9",1,,,
,ГАММА,,,,,,,,,
Renault                   Clio 1.6 D,,120,205,199,9,83,32,класс  B            хэтчбек                 Франция                       10                           1,6000 /,5
У,,"0,7","1,2","0,7","1,6","0,8","0,8",,,
Renault	        Duster 1.5 D,,109,240,167,"13,2",47,152,класс   B           внедорожник                 Франция                       10                           1,9300 /,5
В,,"0,7","1,2","0,5","1,6","0,7",1,,,
Renault	   Alaskan,,160,403,172,12,46,169,класс  C            внедорожник                Франция                       10                           2,13 500 /,4
В,,"0,9","1,3","0,7","1,8","0,7","0,8",,,
Ford	          Focus RS Option Pack,,350,440,267,"4,7",109,30,класс  D            хэтчбек                 США                       10                         3                          hot hatch,15 200 /,3
Г,,"0,8",1,"1,1","0,9","1,2","0,8",,,
BMW	             X4 xDrive35d xLine,,313,630,247,"5,2",75,127,класс  D            внедорожник                Германия                       10                           2,19 000 /,4
У,,1,"1,1","0,7","0,8","0,9",1,,,
Porsche          Macan Turbo,,440,550,270,"4,5",84,120,класс  E            внедорожник                Германия                       10                           2,22 600 /,4
Г,,"1,2","1,2","0,9","0,7",1,1,,,
Chevrolet   	Camaro ZL1 1LE,,650,881,280,"3,5",117,22,класс   R           купе                  США                      10                            3                      muscle car                     widow maker,31 000 /,3
Г,,"1,2","0,9","1,7",1,"1,3","0,8",,,
Lamborghini	 Urus,,650,850,305,"3,6",91,103,класс  R            внедорожник               Италия                       10                           3,35 000 /,3
Г,,"1,2",1,"0,9",1,1,"1,2",,,
"Ford	                         GT ""Competition Series""",,655,745,354,"3,4",132,18,класс  S            купе               США                       10                           3                                         widow maker,39 000 /,3
Г,,"1,6","1,5",5,"2,4","1,4","0,6",,,
Ford	                   F-150 RTR Muscle Truck,,602,708,240,"5,9",57,144,класс  E            внедорожник                  США                      10                            5                     muscle car                                     коллекция,40 000 /,1
Г,,"1,2","1,5",1,"1,1",1,"0,9",,,
"Ford                       GT   '67 Heritage Edition""",,647,746,348,"3,5",126,19,класс  R            купе                 США                      10                            5                                                     коллекция                      widow maker,46 000 /,1
Г,,"1,4","1,3",2,"1,3","1,4","0,7",,,
,дельта,,,,,,,,,
Renault	       Megane,,130,205,200,"10,9",84,36,класс  B            хэтчбек                 Франция                       10                           1,7200 /,5
У,,"0,9","1,1","0,8","2,1","0,8","0,8",,,
Renault	Sandero RS 20 Racing Spirit,,145,198,200,"8,4",92,35,класс  B            хэтчбек                 Франция                       10                          3,8000 /,3
Г,,"0,9","1,1","0,7","1,4","0,7",1,,,
BMW	             520i,,184,290,235,"7,8",89,35,класс   C           седан                Германия                       10                           2                  комфорт,13 500 /,4
У,,"1,2",1,"1,1","1,8","0,7",1,,,
Renault	 Alpine A110,,252,320,250,"4,5",120,27,класс   D           купе                Франция                       10                           2,15 000 /,4
Г,,"1,1","1,2","1,6",1,"1,4","0,7",,,
Chevrolet	   Tahoe RST,,343,519,180,8,48,140,класс   D           внедорожник                США                      10                           2,20 000 /,4
У,,"1,1","1,5","0,8","1,6","0,8",1,,,
Chevrolet	Camaro SS,,455,615,265,"4,3",110,27,класс   E           купе               США                      10                           3                       muscle car,21 000 /,3
Г,,"1,6","1,1","1,6","0,9","1,3","0,7",,,
Ferrari	 Portofino,,600,760,320,"3,5",128,22,класс   R           купе                  Италия                      10                            3,32 000 /,3
Г,,"1,2","0,9","1,8","1,1","1,3","0,7",,,
Citroen	                C 3 WRC,,340,450,246,"3,8",121,63,класс   E           хэтчбек                Франция                       10                          5                  автоспорт,33 000 /,1
